id,deck_id,grade_band,target_word,marked_word,taboo_1,taboo_2,taboo_3,definition,example_sentence
1,taboo_phonics_k_1_starter_30,K-1,cat,c-a-t,pet,meow,kitten,a small furry animal that says meow,The cat slept by the window.
2,taboo_phonics_k_1_starter_30,K-1,dog,d-o-g,pet,bark,puppy,an animal that barks,The dog ran across the yard.
3,taboo_phonics_k_1_starter_30,K-1,sun,s-u-n,sky,hot,daytime,the bright star that lights Earth,The sun warmed our faces.
4,taboo_phonics_k_1_starter_30,K-1,map,m-a-p,directions,route,travel,a drawing that shows places,We used a map to find the park.
5,taboo_phonics_k_1_starter_30,K-1,pen,p-e-n,write,ink,pencil,a tool used for writing with ink,I used a pen to sign my name.
6,taboo_phonics_k_1_starter_30,K-1,pig,p-i-g,farm,oink,mud,a farm animal that says oink,The pig rolled in the mud.
7,taboo_phonics_k_1_starter_30,K-1,red,r-e-d,color,apple,stop,a color like a fire truck,She wore a red hat.
8,taboo_phonics_k_1_starter_30,K-1,hop,h-o-p,jump,bunny,skip,to jump with both feet,We hop over puddles.
9,taboo_phonics_k_1_starter_30,K-1,fish,f-i-sh,swim,fins,water,an animal that lives in water,The fish swam in circles.
10,taboo_phonics_k_1_starter_30,K-1,ship,sh-i-p,boat,sail,ocean,a large boat for water travel,The ship crossed the bay.
11,taboo_phonics_k_1_starter_30,K-1,chat,ch-a-t,talk,speak,message,to talk in a friendly way,We chat after lunch.
12,taboo_phonics_k_1_starter_30,K-1,thin,th-i-n,thick,skinny,slim,not thick; narrow from side to side,The thin book fit in my bag.
13,taboo_phonics_k_1_starter_30,K-1,that,th-a-t,this,those,pronoun,a word used to point to something,That kite is bright blue.
14,taboo_phonics_k_1_starter_30,K-1,drum,d-r-u-m,music,beat,band,a musical instrument you hit to make sound,He played the drum in music class.
15,taboo_phonics_k_1_starter_30,K-1,flag,f-l-a-g,country,pole,banner,a piece of cloth used as a symbol,The flag waved in the wind.
16,taboo_phonics_k_1_starter_30,K-1,clap,c-l-a-p,hands,applaud,sound,to hit your hands together,Please clap for the performers.
17,taboo_phonics_k_1_starter_30,K-1,stop,s-t-o-p,go,halt,sign,to end movement or action,We stop at the red light.
18,taboo_phonics_k_1_starter_30,K-1,nest,n-e-s-t,bird,eggs,tree,a home birds build for eggs,A nest sat high in the tree.
19,taboo_phonics_k_1_starter_30,K-1,milk,m-i-l-k,drink,cow,white,a white drink from cows,I poured milk on my cereal.
20,taboo_phonics_k_1_starter_30,K-1,hand,h-a-n-d,fingers,palm,wave,the part of your arm with fingers,Raise your hand to answer.
21,taboo_phonics_k_1_starter_30,K-1,ring,r-i-ng,finger,bell,circle,a round shape; also a small band worn on a finger,The ring was too loose.
22,taboo_phonics_k_1_starter_30,K-1,song,s-o-ng,music,sing,tune,a piece of music with words,We sang a song together.
23,taboo_phonics_k_1_starter_30,K-1,king,k-i-ng,queen,crown,ruler,a male ruler of a kingdom,The king wore a heavy crown.
24,taboo_phonics_k_1_starter_30,K-1,rain,r-ai-n,cloud,wet,umbrella,water that falls from clouds,Rain tapped on the roof.
25,taboo_phonics_k_1_starter_30,K-1,tree,t-r-ee,leaves,trunk,forest,a tall plant with a trunk and branches,The tree gave us shade.
26,taboo_phonics_k_1_starter_30,K-1,boat,b-oa-t,water,paddle,lake,a vehicle that travels on water,We rode the boat at the lake.
27,taboo_phonics_k_1_starter_30,K-1,home,h-o-me,house,family,live,the place where you live,We walked home after school.
28,taboo_phonics_k_1_starter_30,K-1,bike,b-i-ke,ride,wheels,pedal,a two-wheeled vehicle you pedal,My bike has a blue bell.
29,taboo_phonics_k_1_starter_30,K-1,cube,c-u-be,box,shape,square,a solid shape with six square faces,The toy block was a cube.
30,taboo_phonics_k_1_starter_30,K-1,star,s-t-ar,night,sky,shine,a bright object seen in the night sky,One star shone above us.
