id,deck_id,grade_band,target_word,marked_word,taboo_1,taboo_2,taboo_3,definition,example_sentence
1,taboo_phonics_g2_3_starter_30,G2-3,ship,sh-i-p,boat,sail,ocean,a large boat for water travel,The ship crossed the bay.
2,taboo_phonics_g2_3_starter_30,G2-3,chin,ch-i-n,face,jaw,beard,the part below your mouth,He rested his chin on his hand.
3,taboo_phonics_g2_3_starter_30,G2-3,math,m-a-th,numbers,add,subtract,a school subject about numbers,Math starts after reading.
4,taboo_phonics_g2_3_starter_30,G2-3,brush,b-r-u-sh,comb,hair,teeth,a tool with bristles,I used a brush on my hair.
5,taboo_phonics_g2_3_starter_30,G2-3,chain,ch-ai-n,link,metal,necklace,connected rings of metal,The bike chain came off.
6,taboo_phonics_g2_3_starter_30,G2-3,rain,r-ai-n,cloud,umbrella,water,water that falls from clouds,Rain tapped on the window.
7,taboo_phonics_g2_3_starter_30,G2-3,play,p-l-ay,game,fun,recess,to do an activity for fun,We play tag at recess.
8,taboo_phonics_g2_3_starter_30,G2-3,seed,s-ee-d,plant,grow,garden,part of a plant that can grow,Plant the seed in soil.
9,taboo_phonics_g2_3_starter_30,G2-3,beach,b-ea-ch,sand,ocean,waves,"land by water, often sandy",We found shells at the beach.
10,taboo_phonics_g2_3_starter_30,G2-3,boat,b-oa-t,ship,sail,water,a small water vehicle,The boat moved across the lake.
11,taboo_phonics_g2_3_starter_30,G2-3,snow,s-n-ow,winter,cold,ice,frozen flakes from clouds,Snow covered the playground.
12,taboo_phonics_g2_3_starter_30,G2-3,coin,c-oi-n,money,penny,quarter,a small piece of metal money,I found a coin near the door.
13,taboo_phonics_g2_3_starter_30,G2-3,cloud,c-l-ou-d,sky,rain,white,water drops in the sky,A dark cloud moved overhead.
14,taboo_phonics_g2_3_starter_30,G2-3,star,s-t-ar,night,space,shine,a glowing object in space,One bright star was easy to spot.
15,taboo_phonics_g2_3_starter_30,G2-3,park,p-ar-k,playground,swings,picnic,a public outdoor place,We met at the park after school.
16,taboo_phonics_g2_3_starter_30,G2-3,fork,f-or-k,spoon,knife,eat,a tool with prongs for eating,Use a fork for the salad.
17,taboo_phonics_g2_3_starter_30,G2-3,storm,s-t-or-m,thunder,lightning,wind,rough weather with wind and rain,The storm arrived before dinner.
18,taboo_phonics_g2_3_starter_30,G2-3,bird,b-ir-d,wings,fly,nest,an animal with feathers,A bird landed on the fence.
19,taboo_phonics_g2_3_starter_30,G2-3,turn,t-ur-n,left,right,rotate,to change direction,Turn left at the corner.
20,taboo_phonics_g2_3_starter_30,G2-3,her,h-er,she,girl,hers,a word used for a female person,I gave the note to her.
21,taboo_phonics_g2_3_starter_30,G2-3,clean,c-l-ea-n,dirty,wash,tidy,free from dirt,Please keep your desk clean.
22,taboo_phonics_g2_3_starter_30,G2-3,team,t-ea-m,group,players,together,people working or playing together,Our team won the relay.
23,taboo_phonics_g2_3_starter_30,G2-3,bright,b-r-igh-t,light,shine,smart,giving a lot of light,The bright lamp lit the room.
24,taboo_phonics_g2_3_starter_30,G2-3,night,n-igh-t,dark,moon,sleep,the time when it is dark outside,We read a story at night.
25,taboo_phonics_g2_3_starter_30,G2-3,jumped,jump-ed,hop,leap,bounced,did a leap,The cat jumped onto the chair.
26,taboo_phonics_g2_3_starter_30,G2-3,smiling,smil-ing,happy,grin,teeth,showing happiness with your mouth,She was smiling in the photo.
27,taboo_phonics_g2_3_starter_30,G2-3,helper,help-er,assist,aid,support,a person who helps,My helper passed out papers.
28,taboo_phonics_g2_3_starter_30,G2-3,farmer,farm-er,crops,tractor,field,a person who grows crops or raises animals,The farmer fixed the fence.
29,taboo_phonics_g2_3_starter_30,G2-3,thunder,thun-der,lightning,loud,storm,the loud sound that follows lightning,We heard thunder in the distance.
30,taboo_phonics_g2_3_starter_30,G2-3,winter,win-ter,cold,snow,season,the coldest season of the year,Winter days are shorter.
