word,raw_grade_band,reason
abrupt,G4-6,unknown_band
adaptation,G4-6,unknown_band
admission,G4-6,unknown_band
aesthetics,Branch of philosophy on beauty,invalid_format
affective,Relating to moods/emotions,invalid_format
affiliation,Official connection to a group,invalid_format
aggression,Hostile or violent behavior,invalid_format
agricultural,Relating to farming,invalid_format
agriculture,Science or practice of farming,invalid_format
algorithm,Set of rules for a process,invalid_format
alignment,Arrangement in a straight line,invalid_format
alleviate,To make suffering less severe,invalid_format
alliance,G4-6,unknown_band
amplitude,The maximum extent of a vibration,invalid_format
analgesic,A drug that relieves pain,invalid_format
analogy,Comparison between two things,invalid_format
antimicrobial,Agent that kills microorganisms,invalid_format
anxiety,Feeling of worry or unease,invalid_format
apathy,Lack of interest or concern,invalid_format
apoptosis,Programmed cell death,invalid_format
apparatus,Complex structure or equipment,invalid_format
apprehend,To arrest; to understand,invalid_format
apprenticeship,Learning a trade from a master,invalid_format
archaeology,G4-6,unknown_band
archetype,A typical example of a thing,invalid_format
architecture,The art of designing buildings,invalid_format
articulation,Clear expression or jointing,invalid_format
artifact,G4-6,unknown_band
artillery,Large-caliber guns/cannons,invalid_format
assemble,To fit together the parts of,invalid_format
assimilate,To absorb or integrate into a whole,invalid_format
astronomy,The study of stars and outer space,invalid_format
atom,G4-6,unknown_band
attachment,Emotional bond or a digital file,invalid_format
attitude,A way of thinking or feeling,invalid_format
attraction,G4-6,unknown_band
attractive,G4-6,unknown_band
attribute,Quality; to assign a cause,invalid_format
attribution,Assigning a cause to a behavior,invalid_format
audit,Official inspection of accounts,invalid_format
auditory,Relating to the sense of hearing,invalid_format
authority,G4-6,unknown_band
authorize,To give official permission,invalid_format
availability,Quality of being ready for use,invalid_format
aviation,The flying or operating of aircraft,invalid_format
backfire,To have an opposite effect to intended,invalid_format
ballot,G4-6,unknown_band
bandwidth,Data capacity or mental energy,invalid_format
barrier,Obstacle that prevents movement,invalid_format
barter,G4-6,unknown_band
behavioral,Relating to the way one acts,invalid_format
beneficiary,Person who derives advantage,invalid_format
biodegradable,Capable of being decomposed,invalid_format
biomass,Total mass of organisms in an area,invalid_format
blueprint,A design plan or detailed program,invalid_format
boycott,G4-6,unknown_band
calcium,Chemical element ($Ca$) for bones,invalid_format
calculator,Device for mathematical tasks,invalid_format
caliber,Quality of someone's character/work,invalid_format
